
January 20, 2012; Los Angeles Times; 100 words; Campaigns/Elections/Politics
March 28, 2012; Denver Post; 1450 words; Disasters/Accidents
February 7, 2012; Los Angeles Times; 1452 words; Foreign (non-U.S.)
April 20, 2012; Wall Street Journal; 1455 words; Business
March 18, 2012; Traverse City Record; 1456 words; U.S. Foreign Affairs
May 4, 2012; Wall Street Journal; 1458 words; Business
April 13, 2012; Los Angeles Times; 1458 words; Lifestyle
April 20, 2012; Houston Chronicle; 1458 words; Environment
March 22, 2012; New York Times; 1460 words; Health/Medicine
April 17, 2012; New York Times; 1460 words; Campaigns/Elections/Politics
May 20, 2012; New York Times; 1460 words; U.S. Foreign Affairs
March 12, 2012; Denver Post; 1460 words; U.S. Foreign Affairs
March 12, 2012; New York Times; 1462 words; U.S. Foreign Affairs
January 2, 2012; Washington Post; 1464 words; Campaigns/Elections/Politics
March 20, 2012; Los Angeles Times; 1465 words; U.S. Foreign Affairs
April 1, 2012; Los Angeles Times; 1465 words; Sports
May 25, 2012; New York Times; 1466 words; Foreign (non-U.S.)
May 15, 2012; New York Times; 1470 words; Business
May 4, 2012; Wall Street Journal; 1470 words; U.S. Foreign Affairs
May 13, 2012; Los Angeles Times; 1479 words; Campaigns/Elections/Politics
April 23, 2012; New York Times; 1480 words; Religion
April 4, 2012; Wall Street Journal; 1483 words; Foreign (non-U.S.)
January 17, 2012; Wall Street Journal; 1486 words; Foreign (non-U.S.)
March 25, 2012; New York Times; 1487 words; Foreign (non-U.S.)
April 15, 2012; Los Angeles Times; 1493 words; Health/Medicine
April 3, 2012; Los Angeles Times; 1494 words; Lifestyle
January 20, 2012; New York Times; 1495 words; U.S. Foreign Affairs
April 5, 2012; Washington Post; 1498 words; Education
April 8, 2012; New York Times; 1499 words; U.S. Foreign Affairs
April 19, 2012; New York Times; 1500 words; Government Agencies/Legislatures
May 24, 2012; Wall Street Journal; 1500 words; Business
April 8, 2012; New York Times; 1504 words; U.S. Foreign Affairs
March 12, 2012; Los Angeles Times; 1505 words; Science and Technology
January 4, 2012; New York Times; 1508 words; Campaigns/Elections/Politics
May 7, 2012; Los Angeles Times; 1510 words; Health/Medicine
February 21, 2012; New York Times; 1511 words; Foreign (non-U.S.)
February 2, 2012; USA Today; 1512 words; U.S. Miscellaneous
May 31, 2012; Los Angeles Times; 1512 words; Foreign (non-U.S.)
January 10, 2012; Los Angeles Times; 1513 words; Immigration
March 19, 2012; Wall Street Journal; 1518 words; U.S. Foreign Affairs
February 21, 2012; Denver Post; 1519 words; Education
March 25, 2012; Orlando Sentinel; 1526 words; Race/Gender/Gay Issues
March 12, 2012; New York Times; 1532 words; Health/Medicine
March 4, 2012; Los Angeles Times; 1532 words; Foreign (non-U.S.)
February 17, 2012; Washington Post; 1533 words; Campaigns/Elections/Politics
January 20, 2012; New York Times; 1537 words; Foreign (non-U.S.)
April 4, 2012; USA Today; 1537 words; Lifestyle
February 7, 2012; Denver Post; 1540 words; Science and Technology
January 16, 2012; New York Times; 1541 words; Campaigns/Elections/Politics
February 1, 2012; Los Angeles Times; 1542 words; Lifestyle
February 13, 2012; New York Times; 1545 words; Foreign (non-U.S.)
March 20, 2012; Washington Post; 1546 words; Business
March 28, 2012; Los Angeles Times; 1552 words; Sports
April 17, 2012; Washington Post; 1554 words; Government Agencies/Legislatures
May 17, 2012; Los Angeles Times; 1559 words; Additional Domestic Affairs
May 25, 2012; New York Times; 1563 words; Foreign (non-U.S.)
January 12, 2012; New York Times; 1564 words; U.S. Foreign Affairs
February 15, 2012; Los Angeles Times; 1564 words; Foreign (non-U.S.)
January 15, 2012; New York Times; 1576 words; Foreign (non-U.S.)
February 15, 2012; Washington Post; 1581 words; Additional Domestic Affairs
May 9, 2012; Los Angeles Times; 1581 words; U.S. Miscellaneous
March 5, 2012; USA Today; 1583 words; Disasters/Accidents
May 3, 2012; New York Times; 1584 words; Campaigns/Elections/Politics
January 27, 2012; USA Today; 1587 words; Sports
May 6, 2012; New York Times; 1588 words; Additional Domestic Affairs
January 15, 2012; New York Times; 1589 words; Campaigns/Elections/Politics
May 2, 2012; Wall Street Journal; 1593 words; Foreign (non-U.S.)
May 9, 2012; Los Angeles Times; 1593 words; Crime
April 1, 2012; Washington Post; 1610 words; Foreign (non-U.S.)
February 21, 2012; Los Angeles Times; 1611 words; Campaigns/Elections/Politics
January 4, 2012; Los Angeles Times; 1612 words; Additional Domestic Affairs
January 8, 2012; Washington Post; 1614 words; Campaigns/Elections/Politics
January 8, 2012; Washington Post; 1623 words; Government Agencies/Legislatures
March 6, 2012; Washington Post; 1632 words; Education
May 21, 2012; New York Times; 1634 words; Foreign (non-U.S.)
February 26, 2012; New York Times; 1635 words; Campaigns/Elections/Politics
January 17, 2012; USA Today; 1637 words; Health/Medicine
January 31, 2012; USA Today; 1637 words; Foreign (non-U.S.)
March 14, 2012; New York Times; 1638 words; Foreign (non-U.S.)
February 9, 2012; Los Angeles Times; 1645 words; Race/Gender/Gay Issues
February 12, 2012; New York Times; 1647 words; Campaigns/Elections/Politics
March 14, 2012; New York Times; 1647 words; Campaigns/Elections/Politics
May 24, 2012; USA Today; 1649 words; Economy/Economics
May 4, 2012; USA Today; 1651 words; Government Agencies/Legislatures
February 9, 2012; New York Times; 1655 words; Foreign (non-U.S.)
April 9, 2012; Denver Post; 1655 words; U.S. Miscellaneous
March 26, 2012; Washington Post; 1672 words; Environment
January 30, 2012; Washington Post; 1675 words; Campaigns/Elections/Politics
February 29, 2012; New York Times; 1678 words; Lifestyle
January 30, 2012; New York Times; 1681 words; Campaigns/Elections/Politics
March 21, 2012; USA Today; 1682 words; Crime
April 26, 2012; USA Today; 1683 words; Sports
March 9, 2012; USA Today; 1687 words; Sports
February 3, 2012; Los Angeles Times; 1687 words; Sports
April 15, 2012; Los Angeles Times; 1687 words; Foreign (non-U.S.)
January 16, 2012; New York Times; 1690 words; Lifestyle
April 9, 2012; Los Angeles Times; 1690 words; U.S. Miscellaneous
May 31, 2012; Denver Post; 1693 words; Economy/Economics
April 17, 2012; New York Times; 1694 words; Foreign (non-U.S.)
May 20, 2012; Traverse City Record; 1696 words; U.S. Foreign Affairs
March 21, 2012; Wall Street Journal; 1698 words; Foreign (non-U.S.)
May 3, 2012; New York Times; 1701 words; U.S. Foreign Affairs
May 4, 2012; Wall Street Journal; 1701 words; Foreign (non-U.S.)
January 30, 2012; New York Times; 1706 words; Science and Technology
April 1, 2012; Los Angeles Times; 1706 words; Immigration
March 1, 2012; Orlando Sentinel; 1708 words; Business
March 11, 2012; New York Times; 1709 words; U.S. Foreign Affairs
March 8, 2012; New York Times; 1721 words; U.S. Foreign Affairs
January 19, 2012; USA Today; 1722 words; Campaigns/Elections/Politics
February 13, 2012; New York Times; 1723 words; Foreign (non-U.S.)
May 11, 2012; New York Times; 1727 words; Sports
January 23, 2012; USA Today; 1732 words; U.S. Miscellaneous
February 22, 2012; USA Today; 1739 words; Government Agencies/Legislatures
January 11, 2012; USA Today; 1742 words; Economy/Economics
January 12, 2012; New York Times; 1743 words; U.S. Foreign Affairs
March 30, 2012; Washington Post; 1744 words; Court/Legal System
May 27, 2012; Los Angeles Times; 1744 words; Campaigns/Elections/Politics
May 14, 2012; USA Today; 1746 words; Transportation
April 1, 2012; Los Angeles Times; 1747 words; Foreign (non-U.S.)
May 3, 2012; New York Times; 1748 words; U.S. Foreign Affairs
May 3, 2012; New York Times; 1748 words; U.S. Foreign Affairs
May 18, 2012; Wall Street Journal; 1749 words; U.S. Foreign Affairs
May 8, 2012; USA Today; 1749 words; Economy/Economics
March 5, 2012; Orlando Sentinel; 1752 words; Campaigns/Elections/Politics
March 26, 2012; Washington Post; 1756 words; Transportation
February 3, 2012; Washington Post; 1758 words; Campaigns/Elections/Politics
February 12, 2012; New York Times; 1764 words; Foreign (non-U.S.)
February 8, 2012; USA Today; 1769 words; Government Agencies/Legislatures
March 2, 2012; New York Times; 1772 words; Foreign (non-U.S.)
February 29, 2012; Denver Post; 1777 words; Campaigns/Elections/Politics
March 15, 2012; USA Today; 1779 words; Business
May 30, 2012; USA Today; 1779 words; Science and Technology
March 29, 2012; USA Today; 1780 words; Education
April 30, 2012; USA Today; 1781 words; Disasters/Accidents
February 28, 2012; Wall Street Journal; 1782 words; Economy/Economics
February 21, 2012; Washington Post; 1783 words; Foreign (non-U.S.)
March 7, 2012; USA Today; 1783 words; Foreign (non-U.S.)
February 13, 2012; Washington Post; 1784 words; Campaigns/Elections/Politics
March 4, 2012; Los Angeles Times; 1787 words; Environment
March 9, 2012; Wall Street Journal; 1792 words; Environment
March 23, 2012; Wall Street Journal; 1793 words; Health/Medicine
January 8, 2012; Washington Post; 1794 words; Defense/Military (Domestic)
March 13, 2012; Wall Street Journal; 1796 words; Economy/Economics
April 10, 2012; USA Today; 1806 words; Health/Medicine
March 5, 2012; Wall Street Journal; 1815 words; Foreign (non-U.S.)
February 7, 2012; Washington Post; 1816 words; Lifestyle
February 17, 2012; Los Angeles Times; 1816 words; Business
May 16, 2012; Wall Street Journal; 1817 words; U.S. Foreign Affairs
April 11, 2012; Washington Post; 1825 words; Health/Medicine
May 6, 2012; Daily Herald (Everett, WA); 1826 words; Environment
February 3, 2012; New York Times; 1831 words; Crime
January 17, 2012; Wall Street Journal; 1832 words; Foreign (non-U.S.)
March 2, 2012; Washington Post; 1833 words; Campaigns/Elections/Politics
April 2, 2012; USA Today; 1835 words; Health/Medicine
January 2, 2012; New York Times; 1839 words; Defense/Military (Domestic)
March 13, 2012; USA Today; 1844 words; U.S. Foreign Affairs
March 4, 2012; Washington Post; 1846 words; Foreign (non-U.S.)
February 13, 2012; Washington Post; 1851 words; Education
April 16, 2012; USA Today; 1855 words; Economy/Economics
February 6, 2012; USA Today; 1862 words; Foreign (non-U.S.)
March 25, 2012; New York Times; 1863 words; Campaigns/Elections/Politics
April 12, 2012; Wall Street Journal; 1868 words; Campaigns/Elections/Politics
April 22, 2012; New York Times; 1872 words; Campaigns/Elections/Politics
March 27, 2012; USA Today; 1878 words; Additional Domestic Affairs
February 10, 2012; USA Today; 1881 words; Crime
March 16, 2012; New York Times; 1885 words; Business
January 6, 2012; New York Times; 1891 words; Foreign (non-U.S.)
January 16, 2012; New York Times; 1894 words; U.S. Foreign Affairs
March 23, 2012; USA Today; 1894 words; Sports
January 4, 2012; New York Times; 1896 words; Education
February 17, 2012; New York Times; 1897 words; Foreign (non-U.S.)
April 24, 2012; USA Today; 1898 words; Business
February 8, 2012; Wall Street Journal; 1901 words; Environment
April 19, 2012; Los Angeles Times; 1907 words; U.S. Miscellaneous
April 19, 2012; Denver Post; 1907 words; U.S. Miscellaneous
April 26, 2012; Wall Street Journal; 1916 words; Education
February 16, 2012; USA Today; 1926 words; Additional Domestic Affairs
February 22, 2012; Wall Street Journal; 1933 words; U.S. Foreign Affairs
February 6, 2012; Wall Street Journal; 1937 words; Business
March 11, 2012; Denver Post; 1944 words; Campaigns/Elections/Politics
February 19, 2012; Eagle Tribune (MA); 1945 words; Disasters/Accidents
May 9, 2012; New York Times; 1947 words; U.S. Foreign Affairs
January 3, 2012; USA Today; 1956 words; Campaigns/Elections/Politics
February 5, 2012; Los Angeles Times; 1959 words; Environment
January 13, 2012; USA Today; 1960 words; Sports
February 26, 2012; New York Times; 1965 words; U.S. Foreign Affairs
February 14, 2012; Wall Street Journal; 1971 words; Business
January 20, 2012; New York Times; 1992 words; Campaigns/Elections/Politics
May 16, 2012; USA Today; 1998 words; Environment
May 30, 2012; Wall Street Journal; 2002 words; Foreign (non-U.S.)
February 14, 2012; USA Today; 2017 words; Lifestyle
February 24, 2012; Wall Street Journal; 2019 words; Economy/Economics
May 22, 2012; Wall Street Journal; 2023 words; Business
March 4, 2012; Washington Post; 2026 words; Campaigns/Elections/Politics
April 4, 2012; Wall Street Journal; 2029 words; U.S. Foreign Affairs
January 27, 2012; Wall Street Journal; 2033 words; Business
May 30, 2012; Wall Street Journal; 2033 words; Foreign (non-U.S.)
March 19, 2012; Wall Street Journal; 2035 words; Foreign (non-U.S.)
January 25, 2012; Wall Street Journal; 2046 words; Business
May 15, 2012; New York Times; 2053 words; Transportation
February 24, 2012; USA Today; 2054 words; Sports
February 10, 2012; Wall Street Journal; 2061 words; U.S. Foreign Affairs
March 7, 2012; Wall Street Journal; 2062 words; Health/Medicine
April 23, 2012; New York Times; 2068 words; Government Agencies/Legislatures
April 18, 2012; USA Today; 2068 words; Science and Technology
February 23, 2012; New York Times; 2072 words; U.S. Miscellaneous
April 16, 2012; Wall Street Journal; 2088 words; Business
April 10, 2012; Wall Street Journal; 2097 words; Environment
April 30, 2012; Wall Street Journal; 2107 words; Additional Domestic Affairs
April 6, 2012; Wall Street Journal; 2115 words; Campaigns/Elections/Politics
January 8, 2012; Los Angeles Times; 2116 words; Immigration
May 14, 2012; Wall Street Journal; 2118 words; Foreign (non-U.S.)
April 9, 2012; Washington Post; 2128 words; Race/Gender/Gay Issues
January 31, 2012; Wall Street Journal; 2133 words; U.S. Foreign Affairs
April 20, 2012; Wall Street Journal; 2136 words; Foreign (non-U.S.)
April 2, 2012; Wall Street Journal; 2144 words; U.S. Foreign Affairs
May 28, 2012; Houston Chronicle; 2166 words; Additional Domestic Affairs
May 24, 2012; Wall Street Journal; 2200 words; Business
May 18, 2012; Wall Street Journal; 2237 words; Business
March 26, 2012; Washington Post; 2269 words; Campaigns/Elections/Politics
March 29, 2012; Wall Street Journal; 2272 words; Business
February 16, 2012; Wall Street Journal; 2288 words; Campaigns/Elections/Politics
January 16, 2012; Washington Post; 2298 words; Economy/Economics
April 19, 2012; New York Times; 2305 words; U.S. Miscellaneous
March 12, 2012; New York Times; 2319 words; Foreign (non-U.S.)
May 9, 2012; New York Times; 2331 words; U.S. Miscellaneous
March 27, 2012; Wall Street Journal; 2369 words; Health/Medicine
May 27, 2012; Los Angeles Times; 2403 words; Immigration
May 7, 2012; New York Times; 2407 words; Foreign (non-U.S.)
May 10, 2012; Wall Street Journal; 2429 words; Foreign (non-U.S.)
January 23, 2012; Houston Chronicle; 2432 words; U.S. Miscellaneous
April 9, 2012; New York Times; 2446 words; U.S. Miscellaneous
May 18, 2012; USA Today; 2446 words; U.S. Foreign Affairs
March 20, 2012; Washington Post; 2447 words; Campaigns/Elections/Politics
March 6, 2012; Washington Post; 2492 words; Foreign (non-U.S.)
January 15, 2012; New York Times; 2509 words; Economy/Economics
February 26, 2012; New York Times; 2516 words; Health/Medicine
May 1, 2012; New York Times; 2551 words; Environment
April 1, 2012; Washington Post; 2586 words; Crime
February 28, 2012; USA Today; 2624 words; Crime
May 20, 2012; New York Times; 2628 words; Campaigns/Elections/Politics
April 9, 2012; New York Times; 2652 words; Health/Medicine
February 19, 2012; Los Angeles Times; 2653 words; Race/Gender/Gay Issues
January 5, 2012; USA Today; 2667 words; Campaigns/Elections/Politics
April 15, 2012; Los Angeles Times; 2669 words; Health/Medicine
April 9, 2012; Washington Post; 2719 words; U.S. Miscellaneous
April 8, 2012; New York Times; 2750 words; Additional Domestic Affairs
February 27, 2012; New York Times; 2897 words; Economy/Economics
March 11, 2012; New York Times; 2912 words; Government Agencies/Legislatures
April 3, 2012; New York Times; 2973 words; Government Agencies/Legislatures
March 26, 2012; New York Times; 3784 words; Health/Medicine
February 7, 2012; Washington Post; 3793 words; Government Agencies/Legislatures
March 19, 2012; USA Today; 3966 words; Crime
February 12, 2012; New York Times; 4083 words; Additional Domestic Affairs
April 20, 2012; USA Today; 4290 words; Environment
January 26, 2012; New York Times; 5538 words; Business
May 29, 2012; New York Times; 6155 words; U.S. Foreign Affairs
March 25, 2012; New York Times; 6316 words; Sports
April 22, 2012; New York Times; 8124 words; Business
Number of Stories: 1628; Number of Sources: 11; Number of Word Equivalents: 1795159; Number of Topics: 26
